timestamp,device_id,dev_eui,fcnt,encryption_scheme,payload_length,encrypted_payload_length,encryption_time_ns,transmission_time_s,energy_consumption_nj,packet_loss,gateway_id,snr,rssi,data_rate,frequency,sf,bandwidth_hz,rx_power_dbm,tx_start,tx_end
154.0,DEV_017,17ffad60894390d1,4,Hybrid-ECC-AES,19,67,128500,0.184832,2143544.0795874693,False,GW_1,21.84522975447804,-89.33477465452364,5,867.3,10,500000,-89.33477465452364,154.0,154.184832
178.0,DEV_005,58ea5af6ab6a0941,4,ChaCha20-Poly1305-Lite,49,65,32200,0.369664,7867583.637984228,False,GW_1,27.18114601210716,-87.97712871338325,5,868.3,10,250000,-87.97712871338325,178.0,178.369664
182.0,DEV_004,0fdf179ede7911aa,2,AES-128-GCM,11,39,90100,0.077056,850858.745599224,False,GW_1,18.77446496763513,-95.22319718470447,5,867.1,8,250000,-95.22319718470447,182.0,182.077056
182.0,DEV_007,e3d098a80cc45ce0,2,ChaCha20-Poly1305-Lite,41,57,33300,0.308224,6920811.008035603,False,GW_2,33.44906718082559,-78.648162344853,5,867.7,11,500000,-78.648162344853,182.0,182.308224
182.0,DEV_008,acd53140c023c37a,2,ChaCha20-Poly1305-Lite,48,64,175300,0.097536,1818310.923504727,False,GW_2,33.06461311060563,-79.15265272755911,5,868.5,9,500000,-79.15265272755911,182.0,182.097536
182.0,DEV_011,3e9eab81acc2d90c,2,ChaCha20-Poly1305,32,60,29300,0.028224,427343.74388669414,False,GW_2,23.877438930249436,-87.14507623013999,5,867.5,7,500000,-87.14507623013999,182.0,182.028224
182.0,DEV_013,3f1fdbaceaf6af6d,2,AES-128-GCM,26,54,66400,0.184832,4422971.538182129,False,GW_2,40.599672693826165,-76.10018878093622,4,867.1,8,125000,-76.10018878093622,182.0,182.184832
182.0,DEV_015,43f01e2b7ac8a8f8,2,AES-128-GCM,10,38,48100,0.45260799999999995,9325121.55258484,False,GW_2,25.08358404748204,-86.2489864684351,5,867.3,12,500000,-86.2489864684351,182.0,182.452608
185.0,DEV_006,787176f17fbdca08,5,ChaCha20-Poly1305-Lite,33,49,26000,0.267264,3863647.726280463,False,GW_2,21.97121194871264,-89.44111551350825,5,867.1,7,500000,-89.44111551350825,185.0,185.267264
185.0,DEV_016,9439ff9ffb85875d,5,Advanced-ECC-AES,44,224,1356700,0.17676799999999998,2163033.283811834,True,GW_2,12.460184838981679,-100.49711099006643,6,867.1,7,250000,-100.49711099006643,185.0,185.176768
185.0,DEV_017,17ffad60894390d1,5,Hybrid-ECC-AES,19,67,110600,0.184832,2143544.0795874693,False,GW_1,20.08166933808111,-88.8221832697063,5,867.3,10,500000,-88.8221832697063,185.0,185.184832
188.0,DEV_012,acc35438ae3a96d4,1,ChaCha20-Poly1305,33,61,26200,1.478656,15588865.947580224,False,GW_2,33.94424937166688,-83.97217907538744,1,868.5,11,125000,-83.97217907538744,188.0,189.478656
195.0,DEV_020,b2c201b84a9af945,3,Advanced-ECC-AES,37,217,1370000,0.5432319999999999,13402929.867772404,False,GW_1,25.37823070686041,-88.70068879438588,5,867.7,9,250000,-88.70068879438588,195.0,195.543232
204.0,DEV_003,9248fc49325b5799,3,ChaCha20-Poly1305,27,55,43700,0.575488,11157630.78527769,False,GW_2,34.55153441070916,-80.47677167074517,5,867.5,11,250000,-80.47677167074517,204.0,204.575488
215.0,DEV_005,58ea5af6ab6a0941,5,ChaCha20-Poly1305-Lite,49,65,23900,0.369664,7867583.637984228,False,GW_1,35.23340555072782,-79.10981052145154,5,868.5,10,250000,-79.10981052145154,215.0,215.369664
216.0,DEV_006,787176f17fbdca08,6,ChaCha20-Poly1305-Lite,33,49,109200,0.024384,352502.342843117,False,GW_2,20.264623941792028,-92.60684703825095,5,867.5,7,500000,-92.60684703825095,216.0,216.024384
216.0,DEV_016,9439ff9ffb85875d,6,Advanced-ECC-AES,44,224,1381700,0.17676799999999998,2163033.283811834,False,GW_2,23.368268010880534,-89.99705545923463,6,868.3,7,250000,-89.99705545923463,216.0,216.176768
216.0,DEV_017,17ffad60894390d1,6,Hybrid-ECC-AES,19,67,140500,0.184832,2143544.0795874693,False,GW_1,23.96545145542036,-87.91785655888052,5,868.1,10,500000,-87.91785655888052,216.0,216.184832
241.0,DEV_002,11fa48e6a768a183,1,Advanced-ECC-AES,21,201,1352100,0.461312,6517930.448028314,False,GW_1,19.256357634176123,-91.80377843188366,5,867.7,10,500000,-91.80377843188366,241.0,241.461312
241.0,DEV_009,aa6908fa03f6d75d,1,AES-128-GCM,49,77,110000,0.451584,10137377.003430646,False,GW_2,30.400914825063115,-88.26089367457128,3,867.7,9,125000,-88.26089367457128,241.0,241.451584
241.0,DEV_014,6d10c6ab3016214a,1,ChaCha20-Poly1305,25,53,37100,0.328704,6331240.140147662,False,GW_2,56.162958071591035,-61.718284736676075,3,867.5,9,125000,-61.718284736676075,241.0,241.328704
243.0,DEV_004,0fdf179ede7911aa,3,AES-128-GCM,11,39,60400,0.077056,850858.745599224,False,GW_1,22.451184853191688,-91.3554041428994,5,867.7,8,250000,-91.3554041428994,243.0,243.077056
243.0,DEV_007,e3d098a80cc45ce0,3,ChaCha20-Poly1305-Lite,41,57,26400,0.308224,6920811.008035603,False,GW_2,30.92987507487307,-80.26297144061888,5,867.3,11,500000,-80.26297144061888,243.0,243.308224
243.0,DEV_008,acd53140c023c37a,3,ChaCha20-Poly1305-Lite,48,64,22600,0.097536,1818310.923504727,False,GW_2,38.27461944187969,-73.0524333934604,5,867.1,9,500000,-73.0524333934604,243.0,243.097536
243.0,DEV_011,3e9eab81acc2d90c,3,ChaCha20-Poly1305,32,60,20600,0.028224,427343.74388669414,False,GW_1,26.844624733922718,-84.27634376306838,5,867.1,7,500000,-84.27634376306838,243.0,243.028224
243.0,DEV_013,3f1fdbaceaf6af6d,3,AES-128-GCM,26,54,45900,0.184832,4422971.538182129,True,GW_2,44.39371128483251,-70.84391144397458,4,867.7,8,125000,-70.84391144397458,243.0,243.184832
243.0,DEV_015,43f01e2b7ac8a8f8,3,AES-128-GCM,10,38,39800,0.45260799999999995,9325121.55258484,False,GW_2,34.33153572779337,-76.65224428929291,5,867.3,12,500000,-76.65224428929291,243.0,243.452608
247.0,DEV_006,787176f17fbdca08,7,ChaCha20-Poly1305-Lite,33,49,24500,0.024384,352502.342843117,True,GW_1,20.43937322111821,-91.16695982781678,5,867.5,7,500000,-91.16695982781678,247.0,247.024384
247.0,DEV_016,9439ff9ffb85875d,7,Advanced-ECC-AES,44,224,1411600,0.17676799999999998,2163033.283811834,False,GW_2,13.318443931295727,-99.86819460238544,6,868.5,7,250000,-99.86819460238544,247.0,247.176768
247.0,DEV_017,17ffad60894390d1,7,Hybrid-ECC-AES,19,67,149100,0.184832,2143544.0795874693,True,GW_1,24.64146257105436,-86.20374587885357,5,867.5,7,500000,-86.20374587885357,247.0,247.184832
250.0,DEV_020,b2c201b84a9af945,4,Advanced-ECC-AES,37,217,1390400,0.5432319999999999,13402929.867772404,False,GW_1,28.360195534737528,-87.43506650939008,6,868.5,7,250000,-87.43506650939008,250.0,250.543232
252.0,DEV_005,58ea5af6ab6a0941,6,ChaCha20-Poly1305-Lite,49,65,62500,0.369664,7867583.637984228,False,GW_1,31.85520915676654,-83.08976466749782,5,868.3,10,250000,-83.08976466749782,252.0,252.369664
262.0,DEV_003,9248fc49325b5799,4,ChaCha20-Poly1305,27,55,30000,0.575488,11157630.78527769,False,GW_2,29.473050196581312,-83.17907897436302,5,868.3,11,250000,-83.17907897436302,262.0,262.575488
